Provider	SDeathN	SDeathR	LungN	LungR	ClotN	ClotR	SplitN	SplitR	CutsN	CutsR	HADeathR	HADeathN	HFDeathR	HFDeathN	PDeathR	PDeathN
191315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	11.3	52	12.6	105
191316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	13	62	9.3	137
191317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	12.7	61	14.6	167
191318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	14.3	55	13.5	115
191320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	10.7	25	10.6	39
191321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	12	NA	13
191322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	17.1	74	13.5	74
191323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	10.7	58	10	104
191324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	15.7	50	11.8	52
191325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10.6	73	12.2	116
191326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	14	11.2	68
200001	33	112.27	4736	0.19	1071	4.53	198	1.98	4784	2.38	13.8	146	10.3	243	10.9	447
200002	4	NA	1680	0.31	270	5.85	43	1.9	1731	1.71	14	28	10	153	8.8	137
200008	45	92.82	6120	0.19	1715	2.76	174	1.28	6087	1.62	16.7	100	13.2	247	11.2	173
200009	416	142.89	21852	0.54	10648	4.13	1388	1.9	23333	3.19	14.2	798	11.6	895	11.7	583
200018	17	NA	2281	0.35	487	3.86	70	0.72	2379	1.63	11.8	189	11.3	137	11.2	160
200019	39	99.05	4840	0.38	942	2.25	181	0.54	5116	1.17	14.1	171	14.1	385	12.4	328
200020	22	NA	3868	0.38	907	3.81	139	1.43	4006	2.15	12.8	116	11.7	213	10.2	298
200021	18	NA	3823	0.23	550	3.04	82	0.71	3990	2.55	16.5	98	13.9	184	18.7	277
200024	97	104.83	7532	0.3	2532	1.84	319	1.02	8028	2.67	14.9	336	15.4	339	12.5	351
200025	4	NA	1329	0.51	161	3.62	45	0.82	1373	1.38	14.7	38	10.1	74	10.8	92
200031	7	NA	1883	0.39	188	3.37	50	0.79	1961	1.57	14.4	74	12.4	130	10.2	123
200033	263	133.86	15719	0.3	6130	3.02	604	1.05	17021	2.06	14.8	771	12.2	506	12	417
200034	38	101.81	3555	0.49	1126	3.79	139	0.58	3627	2.6	15.1	93	12.7	195	10	162
200037	10	NA	2331	0.39	337	2.48	64	0.77	2434	2.43	17.9	70	11.3	145	10.9	164
200039	73	123.75	9421	0.29	1787	2.8	245	1.85	9835	1.77	14.2	283	10.7	427	11.8	481
200040	13	NA	2346	0.3	230	3.26	36	0.86	2431	2.18	16.2	87	13.7	148	12.1	198
