Provider	SDeathN	SDeathR	LungN	LungR	ClotN	ClotR	SplitN	SplitR	CutsN	CutsR	HADeathR	HADeathN	HFDeathR	HFDeathN	PDeathR	PDeathN
10001	157	140.58	15149	0.32	4941	1.47	393	0.9	15820	3.28	15	669	11.8	751	12.7	339
10005	29	123.92	4467	0.3	689	4.7	102	0.69	4584	1.5	17.3	35	14.7	213	15.9	339
10006	110	146.33	9962	0.5	2805	3.22	234	1.21	10577	3.09	18.6	307	12.6	563	15	785
10007	10	NA	2176	0.3	173	6.11	35	0.85	2220	1.74	NA	16	14.4	101	16.1	211
10008	NA	NA	673	0.33	28	4.52	NA	NA	707	1.9	NA	5	13.5	51	15.6	60
10011	173	143.09	10726	0.5	3776	4.58	340	1.55	11212	2.42	16.3	238	10.8	317	17.3	482
10012	25	124.21	3238	0.33	753	2.5	69	1.85	3360	2.12	16.2	100	16.4	134	15.8	243
10016	91	145.74	6551	0.21	2239	3.98	255	0.49	6907	2.03	14	213	13.2	257	13.1	318
10018	3	NA	93	0.34	73	4.36	NA	NA	93	1.98	NA	NA	NA	NA	NA	NA
10019	79	122.64	5638	0.27	1535	6.01	214	0.54	5728	2.51	17.2	70	11	277	15.3	331
10021	8	NA	1559	0.27	166	5.95	16	NA	1618	1.98	16.8	31	11.7	61	11.3	136
10022	NA	NA	1116	0.32	68	4.43	17	NA	1137	1.68	NA	8	11.6	56	13.6	101
10023	170	155.29	11283	0.24	4551	2.59	413	0.91	11648	2.02	18.2	307	10.8	404	14.1	184
10024	95	124.56	9776	0.26	2888	2.12	237	0.5	10061	2.19	17.3	225	10.4	457	15.7	320
10025	11	NA	2544	0.26	333	2.31	78	3.75	2717	1.93	14	72	9.9	165	11.4	117
10027	NA	NA	575	0.34	NA	NA	NA	NA	594	1.95	NA	3	NA	23	11.8	67
10029	145	141.06	11112	0.33	4139	2.39	362	1.55	11457	2.58	17.1	275	11.8	632	12.8	257
10032	NA	NA	695	0.32	3	NA	NA	NA	788	1.9	NA	12	11.8	49	13.7	103
10033	594	157.99	24057	0.71	10804	5.36	1617	0.4	26364	2.11	15.7	214	11.5	408	12.5	384
10034	7	NA	1450	0.3	103	4.11	21	NA	1596	1.98	NA	22	12.4	96	11.4	91
10035	54	165.41	6191	0.25	1550	2.81	173	0.58	6302	1.74	15.9	116	13.4	399	11.6	419
10036	19	NA	3265	0.27	540	5.08	75	0.76	3342	1.87	NA	16	11.7	150	11.4	238
10038	34	115.7	4672	0.35	1008	4.62	118	0.67	4882	1.98	16.5	67	12	194	11.8	215
10039	391	133.14	28969	0.24	10905	3.58	979	1.3	29981	1.89	15.4	1044	12.2	1414	12.9	910
10040	193	105.05	8787	0.66	2699	4.71	257	1.04	9063	1.71	16.7	218	11.2	365	15.5	408
10043	NA	NA	528	0.32	NA	NA	NA	NA	543	1.94	NA	2	11.3	30	12.6	52
10044	NA	NA	1065	0.32	35	4.51	16	NA	1107	2.13	NA	8	11.6	57	8.4	163
10045	6	NA	1398	0.31	51	5.73	23	NA	1442	2	16.7	28	12.5	101	12.9	163
10046	108	123.37	8002	0.16	1795	3.85	170	0.56	8381	0.76	16.6	129	11.5	372	13.7	345
10047	NA	NA	1520	0.32	NA	NA	NA	NA	1583	1.81	15.2	31	12.4	64	11.8	98
10049	6	NA	3465	0.37	575	3.97	98	0.79	3548	2.4	16.6	36	14.1	141	12.8	180
10050	NA	NA	1279	0.31	64	4.44	5	NA	1311	1.71	NA	19	12.4	58	16.6	135
10051	NA	NA	612	0.34	NA	NA	NA	NA	616	1.98	NA	1	11.2	34	11.6	34
10052	NA	NA	965	0.33	NA	NA	NA	NA	992	1.88	NA	6	10.7	37	9.8	87
10054	19	NA	3304	0.35	372	5.77	84	0.76	3403	2.18	16	33	11.2	189	12.8	210
10055	97	144.56	9736	0.23	3679	3.1	315	0.46	10048	1.85	13.4	320	12.7	500	11.1	437
10056	227	133.44	16369	0.49	6938	5.43	555	0.34	16407	2	15.3	268	11.1	477	12.8	515
10058	NA	NA	269	0.34	NA	NA	NA	NA	287	2.01	NA	2	NA	21	13.9	52
10059	NA	NA	1876	0.42	11	NA	NA	NA	1935	1.73	NA	22	10	75	9.6	141
10061	18	NA	3883	0.28	273	7.01	33	2.03	3981	1.9	14.6	26	13.2	127	12.5	361
10062	5	NA	1642	0.31	94	4.28	27	0.87	1742	1.49	NA	17	13.8	100	14	194
10065	35	92.86	3068	0.43	659	5	86	1.75	3155	3.72	17.2	72	12.3	157	16.2	187
10066	NA	NA	571	0.32	3	NA	NA	NA	576	1.94	NA	1	10.2	41	10.9	79
10069	NA	NA	1469	0.32	65	4.39	28	0.88	1494	1.61	NA	10	14.9	98	15.8	123
10073	NA	NA	1249	0.32	11	NA	6	NA	1269	1.8	NA	21	14.3	66	12.4	115
10078	155	132.64	9964	0.24	3286	4.89	313	3.22	10694	3.48	16.2	438	10.9	603	13.6	398
10079	15	NA	3284	0.33	381	6.84	74	0.76	3404	2.15	14.7	33	10.8	181	11.6	231
10083	44	115.25	4869	0.44	922	2.86	165	1.34	4993	2.07	15.9	70	14.3	284	10.5	264
10085	86	115.24	6444	0.36	1490	3.2	241	0.49	6736	2.51	15.6	68	12.8	394	12.9	346
10086	13	NA	2423	0.29	362	5.1	53	0.76	2637	1.48	14.1	28	11.5	83	13.3	246
10087	46	176.12	2210	0.63	902	6.26	142	0.6	2403	2.77	NA	10	NA	22	NA	22
10089	27	115.6	4605	0.21	1042	2.48	53	0.77	4525	1.16	16	66	11.1	224	11.2	276
10090	117	138.33	9259	0.44	3465	5.93	297	1.09	9632	2.74	15.7	202	13.5	488	11.4	483
10091	NA	NA	645	0.33	14	NA	4	NA	663	1.88	NA	4	10.5	54	11.5	45
10092	399	117.05	21658	0.38	5586	6.16	667	0.99	23084	1.31	14.7	398	12.6	883	12	790
10095	NA	NA	583	0.33	NA	NA	NA	NA	590	1.97	NA	7	10.2	39	11.2	29
10097	NA	NA	1381	0.31	NA	NA	NA	NA	1414	1.88	NA	16	11	37	11.7	70
10099	8	NA	2186	0.3	129	5.18	60	1.94	2227	3.2	15.9	28	13.8	101	13.3	168
10100	73	146.15	5702	0.33	2481	4.31	179	0.57	6346	3.38	16.8	170	13.6	299	13.9	185
10101	10	NA	2266	0.28	208	5.88	57	0.72	2306	2.15	16.8	35	15.6	119	11.1	105
10102	NA	NA	259	0.34	NA	NA	NA	NA	272	2.01	NA	2	NA	15	11.3	39
10103	259	124.73	11258	0.46	4487	4	496	0.8	12366	2.73	14.7	307	12.2	366	13.6	324
10104	219	138.31	10302	0.33	4083	5.81	437	0.36	10809	3.3	16	297	12.4	330	15.3	278
10108	7	NA	1759	0.3	87	4.06	35	0.8	1822	3.23	14	31	11.6	121	14.4	180
10109	4	NA	1321	0.31	65	4.17	26	0.88	1355	1.59	NA	11	14.6	60	12.6	152
10110	NA	NA	962	0.33	NA	NA	NA	NA	978	1.94	NA	3	12.2	38	12.4	27
10112	NA	NA	2708	0.3	207	3.74	18	NA	2751	1.49	NA	21	9.7	108	8.5	126
10113	269	163.02	21351	0.43	7200	9.17	866	0.53	22242	1.19	18.2	256	11.8	748	14.2	580
10114	63	155.25	4713	0.57	1013	4.06	171	0.58	4974	4.42	14.4	102	11.2	199	11.6	205
10118	67	110.13	5958	0.44	1039	6.39	122	0.68	6165	1.65	15.3	129	11.1	316	14.1	227
10120	3	NA	1578	0.43	41	4.52	21	NA	1624	2.43	NA	23	13.3	85	14.8	172
10125	3	NA	1968	0.31	65	5.76	23	NA	2046	1.97	NA	14	13.5	110	11.6	322
10126	9	NA	1784	0.3	155	3.89	31	0.84	1823	1.48	NA	19	10.3	83	11.9	120
10128	NA	NA	718	0.33	7	NA	NA	NA	730	1.91	NA	2	11.5	28	11.1	52
10129	9	NA	883	0.32	114	4.01	33	0.86	930	2.61	NA	10	11.8	42	14	90
10130	NA	NA	992	0.43	5	NA	NA	NA	1021	1.88	NA	5	10.8	89	11	158
10131	76	135.11	7868	0.28	2621	4.8	218	0.51	7542	2.57	12.9	182	13	308	12.1	328
10138	NA	NA	442	0.34	NA	NA	NA	NA	443	2.02	NA	2	NA	8	NA	7
10139	181	137.17	11614	0.3	4523	8.86	637	0.34	11568	2.08	15.9	254	13.4	405	12.8	513
10144	79	114.66	5110	0.63	1675	6.23	173	0.61	5484	3.01	15.7	128	12.5	344	14.1	197
10146	6	NA	1335	0.41	74	4.37	13	NA	1384	1.64	NA	24	14.2	48	16.9	126
10148	NA	NA	2079	0.32	22	NA	NA	NA	2134	1.72	NA	14	10.1	132	11.7	65
10149	33	117.48	4590	0.28	817	2.06	186	0.55	4698	1.77	13.7	79	9.7	293	10.3	212
10150	11	NA	1586	0.31	170	3.92	42	0.82	1634	3.69	NA	20	11.4	91	12.8	87
10157	28	137.03	1436	0.3	274	8.12	79	0.73	1535	2.07	NA	3	14	65	11.8	137
10158	36	118.89	2569	0.38	536	3.78	93	0.77	2603	3.75	13.8	31	13.7	114	14.1	219
10164	25	139.66	2998	0.45	333	4.59	122	1.62	3104	2.61	14.6	44	13	139	10.3	252
10168	35	106.95	2406	0.3	1990	4.53	13	NA	2194	1.31	NA	6	11.4	27	11.6	40
10169	3	NA	1583	0.31	55	4.3	18	NA	1622	1.92	NA	18	10.4	149	12.8	96
11300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	22	14.6	28
11302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	12.6	26	10.8	42
11304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
13301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20001	142	98.62	7817	0.19	3287	2.87	335	0.45	8132	3.8	13.3	285	15.2	358	11.5	256
20006	27	117.98	2854	0.25	682	3.05	161	2.2	2973	3.57	17.7	67	14	126	12.4	197
20008	6	NA	1060	0.32	214	3.54	26	0.88	1079	1.56	NA	20	11.5	42	10.8	80
20012	32	114.94	2390	0.33	646	2.94	142	0.6	2494	2.87	15.2	79	14.8	103	13.2	97
20017	80	130.63	2832	0.3	1832	5.47	182	0.54	2900	1.84	15.2	78	13.4	74	14.1	68
20018	NA	NA	526	0.33	NA	NA	NA	NA	540	1.95	NA	1	11.2	33	9.5	137
20024	7	NA	1458	0.3	366	4.87	70	0.76	1534	2.01	NA	17	10.8	63	10.9	94
20026	52	128.06	2838	0.47	877	3.66	188	0.56	2894	3.63	15.9	38	13.4	73	14.2	150
20027	NA	NA	531	0.32	65	4.32	23	NA	549	2.67	NA	2	NA	16	15.5	39
21301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	9
21302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	7	NA	10
21303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	9	11.4	31
21304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	6	NA	13
21305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	9	NA	18
21306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	21	11.6	40
21307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2
21308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	15	11.9	26
21309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	7	NA	15
21311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	11.2	28	13.1	77
21313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	24	12.4	60
30001	3	NA	1153	0.29	83	5.41	10	NA	1204	1.98	NA	17	11.5	27	11.1	34
30002	401	87.13	18790	0.45	7937	3.15	1096	0.75	20073	1.85	14.2	179	9.9	302	11.1	182
30006	268	107.7	16237	0.45	7205	6.21	673	2.55	16898	2.37	14.4	368	13.6	449	11.9	443
30007	44	120.18	3487	0.34	1199	3.8	183	0.54	3698	1.02	18.3	136	10.2	160	12.4	210
30010	85	118.36	6523	0.21	1917	4.01	209	1.12	6701	1.49	18.4	180	12.8	183	9.9	207
30011	136	129.68	9412	0.23	3232	3.93	415	0.89	9584	3.53	17.3	201	10.4	319	14.8	408
30012	131	101.05	7340	0.65	2765	3.01	274	1.68	7760	3.13	14.9	298	12.6	222	11.8	382
30013	154	124.86	11207	0.31	2792	3.07	331	0.41	12152	2.35	11.7	526	12.8	508	16.7	935
30014	143	102.04	10296	0.37	3308	4.53	345	0.93	10911	2.73	15.7	96	11.5	229	11	168
30016	36	100.91	4574	0.52	999	5.28	182	1.33	4875	2.12	14.4	83	12.3	131	14	275
30022	44	130.67	2158	0.26	546	12.23	64	0.75	2331	2.34	NA	11	NA	10	NA	20
30023	102	133.17	6364	0.21	3174	2.66	230	0.43	6201	1.85	12.5	164	13.2	186	9.3	251
30024	376	80.89	12767	0.51	5826	5.43	520	0.9	12847	3.7	16.6	145	11.6	161	12.1	151
30030	123	92.49	4824	0.18	2123	4.19	224	1.26	5215	2.84	15.2	141	11	143	15.3	87
30033	37	79.12	2475	0.24	644	4.32	121	0.62	2619	1.46	NA	24	11.5	96	13	78
30036	98	109.51	7031	0.32	1988	2.89	214	1.2	7797	1.91	15.2	221	12.1	313	11.5	354
30037	42	97.66	2786	0.41	1596	2.53	97	0.74	2985	2.31	14.7	40	11.2	63	13.6	51
30038	188	77.56	11110	0.45	3809	3.7	300	0.95	11784	1.86	15	172	9.3	384	11.8	355
30043	38	111.34	4079	0.33	696	5.78	168	1.38	4351	3.76	16.8	145	11.8	207	10.9	238
30055	78	105.45	6508	0.34	1572	3.9	236	0.43	7057	3.37	16.4	179	9.9	289	12.9	448
30061	221	107.79	24223	0.23	7612	3.13	724	0.58	25772	1.24	15.2	465	12.2	636	10.9	577
30062	26	104.08	2233	0.26	811	5.07	128	0.64	2368	1.78	14.4	56	12.2	76	12	142
30064	242	99.94	10991	0.48	4148	3.15	618	0.67	12030	3.37	12.8	217	10.9	234	10.6	287
30065	180	100.63	10272	0.4	3432	3.89	587	1.11	10688	1.39	14.6	189	10.3	315	10.3	331
30067	5	NA	1094	0.37	163	3.94	39	0.8	1124	1.4	15.2	46	12	54	10.3	123
30068	4	NA	1208	0.31	216	3.54	27	0.85	1289	2.18	NA	13	15.5	51	11.5	153
30069	56	107.85	5653	0.19	2212	4.5	227	1.22	6044	2	18.4	242	12.8	286	15.4	249
30071	3	NA	830	0.31	103	4.28	26	0.88	867	1.67	NA	5	NA	21	10	169
30073	20	NA	1344	0.3	330	3.23	33	0.89	1391	1.45	NA	5	11.4	43	10.2	193
30074	NA	NA	93	0.34	NA	NA	NA	NA	94	2.04	NA	NA	NA	NA	NA	10
30077	NA	NA	29	0.34	NA	NA	NA	NA	29	2.05	NA	NA	NA	NA	NA	2
30078	NA	NA	372	0.45	92	5.53	24	NA	386	2.76	NA	NA	NA	4	10.7	37
30083	33	110.48	2158	0.45	552	3.27	72	0.77	2247	2.46	15.3	45	12.4	63	13.6	116
30084	4	NA	867	0.31	90	4.29	24	NA	888	1.63	NA	11	10.7	38	10.7	143
30085	136	79.97	9415	0.35	4179	4.16	361	1.58	9642	3.6	17.7	156	13.1	279	13.7	458
30087	189	104.9	12831	0.28	5706	4.17	645	0.61	13654	2.25	14	269	8.8	472	10.5	519
30088	118	75.45	14843	0.32	2917	4.37	555	1.86	15643	1.42	16.6	46	13.1	436	10.1	626
30089	162	76.56	9569	0.19	2682	4.64	325	1.48	10264	1.76	16.1	175	9	389	8	353
30092	119	83.73	6611	0.28	2219	5.4	209	1.22	7301	1.56	13.4	114	11.2	168	10	192
30093	89	97.75	12976	0.26	3180	3.4	345	0.4	13633	1.9	13.4	394	12.9	493	12.1	578
30094	64	87.43	4047	0.44	1466	4.02	128	1.53	4351	1.87	15	74	11.7	123	12	177
30100	47	96.62	2182	0.62	1042	4.23	20	NA	2580	5.39	13	188	10	185	12.7	87
30101	55	109.62	5802	0.44	1449	4.32	173	0.57	5962	1.24	15.8	180	11.8	313	12.3	211
30103	382	54.89	13619	0.34	6378	3	1025	0.73	14818	0.88	12.7	212	10.2	386	7.9	457
30105	62	95.24	4369	0.61	2425	2.65	26	0.88	5118	1.41	14.4	407	9.8	606	13.9	25
30107	12	NA	871	0.33	853	2.91	6	NA	723	1.75	NA	NA	NA	NA	NA	NA
30108	4	NA	780	0.33	750	2.78	NA	NA	358	1.26	NA	NA	NA	NA	NA	NA
30110	58	88.01	3589	0.21	903	5.62	56	0.79	3836	2.19	16.4	117	13	120	11.8	143
30111	21	NA	2585	0.26	337	6.5	55	1.9	2651	1.7	16.3	76	11.9	46	11.5	57
30112	3	NA	577	0.33	576	2.5	NA	NA	574	2.38	NA	NA	NA	NA	NA	NA
30113	NA	NA	366	0.33	7	NA	NA	NA	375	1.98	NA	1	NA	15	10.4	62
30114	29	113.54	3882	0.22	1454	1.46	153	1.38	4021	1.33	15.1	110	11.6	121	9.8	190
30115	50	112.53	5558	0.29	1272	3.14	157	1.48	5894	1.24	15	100	10.9	181	10.2	249
30117	32	99.77	2604	0.67	731	3.65	79	0.74	2725	1.81	15	64	11.8	121	12.4	107
30118	14	NA	2257	0.29	511	2.49	34	0.85	2321	1.74	16.8	27	10	75	14.4	175
30119	79	94.93	5706	0.4	1556	2.69	160	0.61	5920	2.63	14.4	111	9.5	205	10.3	281
30120	NA	NA	1113	0.31	118	4.28	15	NA	1167	1.63	NA	3	10.7	51	9.4	108
30121	91	108.17	5212	0.49	1854	6.02	149	0.59	5535	3.06	15.8	136	12.4	219	9.8	258
30122	63	100.31	4166	0.32	1079	2.34	174	1.36	4463	2.47	14.5	34	12.2	153	9.3	136
30123	46	76.46	2332	0.32	1050	3.78	235	0.55	2390	1.7	14.6	28	12.7	82	10.4	118
30126	49	140.32	1674	0.34	628	4.47	32	0.86	1900	2.08	19.5	90	11.2	114	10.7	78
30130	NA	NA	83	0.34	12	NA	4	NA	84	2.01	NA	NA	NA	11	10.7	26
30131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2
31300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	10.3	28	9.9	72
31301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	18	10.4	55
31302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	12.4	28	10.5	81
31303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	10	26
31304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	11
31305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	11	25
31309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	10.3	60
31311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	22	11.1	84
31312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	17	12.1	28
31313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	13
31314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.9	27	10.7	173	8.5	137
31315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	22	10.6	29
33302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40001	5	NA	1928	0.4	178	3.69	32	2.02	1990	1.98	NA	20	12.9	71	13.3	177
40002	6	NA	1495	0.3	175	3.76	49	0.81	1526	2.45	17.8	32	11.8	74	14.7	190
40004	140	102.1	9943	0.19	4368	3.33	686	1.14	10684	2.19	15.7	289	13.3	401	14.1	423
40007	235	123.21	16300	0.24	6988	3.46	787	0.58	15961	1.67	15.7	164	13.4	601	14	407
40010	84	98.86	5526	0.6	1979	4.38	279	0.43	5887	2.43	14.5	209	13.9	285	13.5	289
40011	NA	NA	2516	0.3	57	4.41	28	0.84	2546	2.27	16.7	44	9.4	100	9.5	100
40014	84	119.71	10803	0.36	1946	2.09	292	0.46	11210	2.26	16.3	252	14.3	578	11.9	743
40015	NA	NA	1051	0.32	43	4.47	22	NA	1087	1.64	NA	9	13.9	87	11.5	139
40016	266	99.46	11974	0.3	3490	5.02	732	1.11	12643	2.17	14.5	112	11.8	171	12.1	313
40017	20	NA	3688	0.32	592	5.61	84	0.72	3760	1.78	18.4	73	10.6	175	11.1	637
40018	11	NA	1703	0.29	284	4.43	27	0.85	1750	1.84	NA	19	13.9	65	11.9	126
40019	3	NA	1136	0.32	79	4.3	37	0.87	1156	1.51	NA	17	12	57	15.2	93
40020	197	140.36	15406	0.48	4769	3.79	522	1.67	16541	2.7	16.7	388	15.7	501	12	539
40022	98	109.1	11294	0.49	3043	1.78	294	1.08	11912	2.44	18	325	12.9	529	14	455
40026	187	105.11	10759	0.36	3743	3.72	420	0.38	11295	1.58	15.8	235	14.2	592	11.5	788
40027	87	103.57	9649	0.45	3048	1.99	379	1.52	10164	1.33	17.5	362	15.4	437	15.9	721
40029	67	145.17	5991	0.18	1776	4.22	248	0.54	6394	1.23	18.4	208	17.5	210	15.8	461
40036	109	139.17	10345	0.4	3618	1.42	509	0.82	11022	3	13.4	320	14.3	526	10.9	500
40039	18	NA	3817	0.41	489	3.39	45	0.8	3893	2.7	16.1	180	15.9	210	12.5	379
40041	20	NA	4519	0.33	926	3.2	131	0.68	4593	1.06	20.6	108	15.8	222	15	324
40042	16	NA	3218	0.25	341	4.93	77	0.75	3277	1.9	14	33	12	169	12.7	189
40047	NA	NA	1152	0.32	12	NA	4	NA	1186	1.83	NA	13	12.9	94	11.9	228
40050	12	NA	1741	0.29	237	3.63	82	0.79	1770	2.1	NA	22	13.2	120	13.6	114
40051	NA	NA	1690	0.42	84	4.3	29	0.88	1747	3.05	NA	13	12.7	105	13.1	249
40055	191	89.81	13352	0.27	3494	4.76	426	0.36	14110	2.08	14.9	384	12.7	507	12	552
40062	201	82.4	9191	0.46	3192	5.76	435	2.25	9677	2.04	14.5	322	13	468	12.4	485
40067	8	NA	1724	0.29	93	5.17	32	1.97	1760	1.53	NA	11	14	138	12.8	102
40069	NA	NA	871	0.32	30	4.62	7	NA	882	1.79	NA	14	13	56	12.8	111
40071	126	129.22	8274	0.75	2595	4.68	351	1.64	8582	1.65	16.8	156	12.2	189	10.5	215
40072	NA	NA	1784	0.31	35	4.51	7	NA	1856	2.11	16.8	29	10	110	14.2	96
40074	13	NA	1470	0.51	169	4.59	35	0.87	1530	2.25	NA	20	9.8	87	14.1	163
40076	3	NA	2058	0.41	58	4.36	24	NA	2135	1.94	NA	17	14.4	108	12.4	326
40078	89	134.69	4424	0.49	1706	6.42	131	0.64	4633	2.05	19.9	80	14.7	238	14.6	297
40080	5	NA	2163	0.3	123	4.07	24	NA	2225	1.74	NA	23	12.8	118	13	182
40084	24	NA	4371	0.23	869	3.65	86	1.7	4478	1.54	15.4	126	15.1	231	12.6	311
40085	3	NA	1870	0.3	63	4.33	15	NA	1900	2.03	NA	21	11.5	165	16.9	111
40088	27	146.96	4889	0.35	1712	1.78	184	2.09	5223	2.15	19	152	14.2	294	12	254
40091	NA	NA	1694	0.3	35	3.67	6	NA	1731	2.15	17.9	38	13.5	156	13.5	195
40114	386	152.06	22929	0.38	9079	3.25	1518	0.62	25094	2.94	14.7	521	11.6	902	12.2	693
40118	57	126.83	6971	0.27	2804	3.66	235	0.52	6739	2.03	14.3	167	15.8	327	11.9	444
40119	134	109.26	7646	0.36	2126	4.09	257	1.11	7993	1.87	16.2	255	14	450	13.1	609
40132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40134	77	114.56	8709	0.49	5551	2.03	130	0.65	9857	1.25	11.9	471	14	465	10	102
40137	6	NA	2206	0.38	518	3.79	44	0.84	2166	2.32	NA	16	11.8	145	9.7	147
40147	6	NA	3018	0.29	2955	1.81	NA	NA	2042	0.94	NA	NA	NA	NA	NA	NA
40152	10	NA	606	0.33	572	2.61	7	NA	542	2.15	NA	NA	NA	2	NA	2
41300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	14.5	40	12	32
41302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	22	17.7	77
41303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	21	13.5	55
41304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	24	14.8	30
41305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	11	69	14.5	89
41306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	14.6	59	11.7	72
41307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	11.6	46	11.8	178
41308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.4	32	18.1	68
41309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11.1	51	14.5	150
41310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.9	28	10.8	81	10.5	127
41311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	11.9	53	17.1	131
41312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	11.2	58	12.6	129
41313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	11.5	92	15.2	150
41314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	11.3	49	14.3	64
41316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	11.9	54	12.3	71
41317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	12.4	29	18.3	142
41318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	13.6	39	10.8	96
41319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	13.7	86	12.5	135
41320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	11.3	25	12.8	43
41321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	10.8	50	12.6	79
41322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	26	13.6	117	16.6	122
41323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	13	45	12.6	122
41324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	13.1	43	14.9	76
41326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	14	41	11.2	76
41327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	12.9	60	13.1	182
41328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	15.7	110	14.2	121
41329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	12.4	45	11.1	165
41330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	12.1	99	10.8	91
41331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	22	11.4	83
43300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50002	46	125.4	4744	0.27	686	5.08	86	1.62	4860	3.93	16.4	131	10.8	202	8.7	121
50006	93	95	4964	0.18	2198	4.71	298	1.07	5212	1.93	18.7	171	12.8	211	11.4	203
50007	127	104.09	7484	0.65	2326	7.02	327	0.44	7845	1.8	14.2	155	13	376	9.9	375
50008	44	110.44	2304	0.27	786	2.81	28	0.87	2112	1.85	NA	10	10.3	49	12.7	48
50009	101	108.52	5964	0.22	1893	2.64	210	0.52	6383	3.73	18.1	178	10.9	387	11.1	322
